Distance_(pixels),Gray_Value
861,57.400
862,73.421
863,94.639
864,117.991
865,137.483
866,151.120
867,158.992
868,157.242
869,147.400
870,132.124
871,112.907
872,90.756
873,69.347
874,54.469
875,46.648
876,47.293
877,56.501
878,73.319
879,95.207
880,119.773
881,143.210
882,159.819
883,171.331
884,174.310
885,167.186
886,151.625
887,130.065
888,105.494
889,80.864
890,63.687
891,52.085
892,49.019
893,54.619
894,67.251
895,88.034
896,113.591
897,137.302
898,158.113
899,173.520
900,178.965
901,174.627
902,161.686
903,142.208
904,119.898
905,96.488
906,74.188
907,57.066
908,47.179
909,49.555
910,59.097
911,75.711
912,96.895
913,121.974
914,144.616
915,160.984
916,171.359
917,172.742
918,164.082
919,147.069
920,124.674
921,101.274
922,79.032
923,60.595
924,49.986
925,48.742
926,56.067
927,71.327
928,93.610
929,120.081
930,146.468
931,167.425
932,181.492
933,186.221
934,181.653
935,167.038
936,147.662
937,124.069
938,96.836
939,74.953
940,59.975
941,53.296
942,55.696
943,67.929
944,88.594
945,112.521
946,137.705
947,162.469
948,181.961
949,193.783
950,194.989
951,185.959
952,169.566
953,146.342
954,119.413
955,93.332
956,71.664
957,57.608
958,51.408
959,55.324
960,69.245
961,90.350
962,114.466
963,138.485
964,160.686
965,175.917
966,183.602
967,180.940
968,169.783
969,151.155
970,126.310
971,99.126
972,74.103
973,56.973
974,46.009
975,43.542
976,50.412
977,64.260
978,81.330
979,99.841
980,118.081
981,134.502
982,143.416
983,143.219
984,134.896
985,121.271
986,103.948
987,84.469
988,65.102
989,49.504
990,40.698
991,38.895
992,44.932
993,57.617
994,73.649
995,94.338
996,114.526
997,130.235
998,138.859
999,141.270
1000,133.938
1001,120.540
1002,102.185
1003,83.353
1004,64.979
1005,50.690
1006,42.782
1007,44.156
1008,54.107
1009,73.706
1010,98.216
1011,124.564
1012,148.745
1013,170.035
1014,184.241
1015,189.256
1016,181.465
1017,165.687
1018,145.112
1019,120.996
1020,96.586
1021,76.399
1022,63.389
1023,59.987
1024,65.858
1025,81.544
1026,105.164
1027,133.365
1028,165.193
1029,192.837
1030,211.755
1031,222.989
1032,225.398
1033,215.954
1034,196.781
1035,170.561
1036,141.610
1037,114.189
1038,90.787
1039,76.557
1040,71.910
1041,79.116
1042,97.525
1043,124.100
1044,155.124
1045,185.462
1046,211.034
1047,229.056
1048,237.564
1049,235.919
1050,225.709
1051,204.260
1052,175.898
1053,143.608
1054,113.991
1055,90.625
1056,76.891
1057,73.529
1058,82.568
1059,100.550
1060,127.347
1061,156.659
1062,185.368
1063,210.262
1064,227.435
1065,233.006
1066,229.374
1067,217.317
1068,193.041
1069,162.131
1070,130.626
1071,102.199
1072,78.724
1073,66.550
1074,65.984
1075,73.875
1076,92.328
1077,117.460
1078,145.072
1079,171.351
1080,189.884
1081,201.958
1082,205.642
1083,198.818
1084,183.194
1085,158.574
1086,131.355
1087,102.096
1088,76.955
1089,58.884
1090,50.261
1091,49.799
1092,59.160
1093,75.208
1094,95.528
1095,118.394
1096,140.516
1097,156.057
1098,164.064
1099,163.051
1100,153.654
1101,139.407
1102,120.048
1103,97.677
1104,75.107
1105,54.369
1106,41.367
1107,36.908
1108,38.803
1109,48.728
1110,63.376
1111,81.339
1112,98.792
1113,113.530
1114,122.596
1115,125.205
1116,122.480
1117,113.849
1118,97.194
1119,78.357
1120,59.585
1121,43.917
1122,32.878
1123,28.385
1124,30.744
1125,38.596
1126,50.371
1127,64.058
1128,78.035
1129,92.131
1130,101.165
1131,104.139
1132,102.019
1133,94.570
1134,83.021
